PARTITION           NODELIST            CPUS                GRES                GRES_USED           MEMORY              
bluemoon*           node515             12                  (null)              gpu:0               20000               
short               node515             12                  (null)              gpu:0               20000               
week                node516             12                  (null)              gpu:0               20000               
bluemoon*           node516             12                  (null)              gpu:0               20000               
short               node516             12                  (null)              gpu:0               20000               
week                node517             12                  (null)              gpu:0               20000               
bluemoon*           node517             12                  (null)              gpu:0               20000               
short               node517             12                  (null)              gpu:0               20000               
week                node518             12                  (null)              gpu:0               20000               
bluemoon*           node518             12                  (null)              gpu:0               20000               
short               node518             12                  (null)              gpu:0               20000               
week                node519             12                  (null)              gpu:0               20000               
bluemoon*           node519             12                  (null)              gpu:0               20000               
short               node519             12                  (null)              gpu:0               20000               
bluemoon*           node520             12                  (null)              gpu:0               20000               
short               node520             12                  (null)              gpu:0               20000               
bluemoon*           node521             12                  (null)              gpu:0               20000               
short               node521             12                  (null)              gpu:0               20000               
bluemoon*           node522             12                  (null)              gpu:0               20000               
short               node522             12                  (null)              gpu:0               20000               
bluemoon*           node523             12                  (null)              gpu:0               20000               
short               node523             12                  (null)              gpu:0               20000               
bluemoon*           node524             12                  (null)              gpu:0               20000               
short               node524             12                  (null)              gpu:0               20000               
bluemoon*           node525             12                  (null)              gpu:0               20000               
short               node525             12                  (null)              gpu:0               20000               
bluemoon*           node526             12                  (null)              gpu:0               20000               
short               node526             12                  (null)              gpu:0               20000               
bluemoon*           node527             12                  (null)              gpu:0               20000               
short               node527             12                  (null)              gpu:0               20000               
bluemoon*           node528             12                  (null)              gpu:0               20000               
short               node528             12                  (null)              gpu:0               20000               
bluemoon*           node529             12                  (null)              gpu:0               20000               
short               node529             12                  (null)              gpu:0               20000               
ib                  node531             12                  (null)              gpu:0               24000               
short               node531             12                  (null)              gpu:0               24000               
ib                  node532             12                  (null)              gpu:0               24000               
short               node532             12                  (null)              gpu:0               24000               
ib                  node533             12                  (null)              gpu:0               24000               
short               node533             12                  (null)              gpu:0               24000               
ib                  node534             12                  (null)              gpu:0               24000               
short               node534             12                  (null)              gpu:0               24000               
ib                  node535             12                  (null)              gpu:0               24000               
short               node535             12                  (null)              gpu:0               24000               
ib                  node536             12                  (null)              gpu:0               24000               
short               node536             12                  (null)              gpu:0               24000               
ib                  node537             12                  (null)              gpu:0               24000               
short               node537             12                  (null)              gpu:0               24000               
ib                  node538             12                  (null)              gpu:0               24000               
short               node538             12                  (null)              gpu:0               24000               
ib                  node539             12                  (null)              gpu:0               24000               
short               node539             12                  (null)              gpu:0               24000               
ib                  node540             12                  (null)              gpu:0               24000               
short               node540             12                  (null)              gpu:0               24000               
ib                  node541             12                  (null)              gpu:0               24000               
short               node541             12                  (null)              gpu:0               24000               
ib                  node542             12                  (null)              gpu:0               24000               
short               node542             12                  (null)              gpu:0               24000               
ib                  node543             12                  (null)              gpu:0               24000               
short               node543             12                  (null)              gpu:0               24000               
ib                  node544             12                  (null)              gpu:0               24000               
