JOBID               USER                PARTITION           NAME                TIME_LEFT           EXEC_HOST           TRES_PER_NODE       TRES_ALLOC          
3195381             dmatthe1            bluemoon            GRAD_EVAL           11:13:43            node408             N/A                 cpu=12,mem=12000M,no
3195380             dmatthe1            bluemoon            GRAD_EVAL           11:13:41            node444             N/A                 cpu=12,mem=12000M,no
3195379             dmatthe1            bluemoon            GRAD_EVAL           11:13:06            node499             N/A                 cpu=12,mem=12000M,no
3195378             dmatthe1            bluemoon            GRAD_EVAL           11:13:05            node456             N/A                 cpu=12,mem=12000M,no
3195377             dmatthe1            bluemoon            GRAD_EVAL           11:11:55            node448             N/A                 cpu=12,mem=12000M,no
3195376             dmatthe1            bluemoon            GRAD_EVAL           11:10:00            node467             N/A                 cpu=12,mem=12000M,no
3195375             dmatthe1            bluemoon            GRAD_EVAL           11:09:50            node210             N/A                 cpu=12,mem=12000M,no
3195374             dmatthe1            bluemoon            GRAD_EVAL           11:09:48            node250             N/A                 cpu=12,mem=12000M,no
3195373             dmatthe1            bluemoon            GRAD_EVAL           11:09:12            node429             N/A                 cpu=12,mem=12000M,no
3195372             dmatthe1            bluemoon            GRAD_EVAL           11:09:00            node231             N/A                 cpu=12,mem=12000M,no
3195371             dmatthe1            bluemoon            GRAD_EVAL           11:08:34            node516             N/A                 cpu=12,mem=12000M,no
3195370             dmatthe1            bluemoon            GRAD_EVAL           11:08:12            node424             N/A                 cpu=12,mem=12000M,no
3195369             dmatthe1            bluemoon            GRAD_EVAL           11:07:57            node201             N/A                 cpu=12,mem=12000M,no
3195368             dmatthe1            bluemoon            GRAD_EVAL           11:07:47            node209             N/A                 cpu=12,mem=12000M,no
3195367             dmatthe1            bluemoon            GRAD_EVAL           11:07:37            node404             N/A                 cpu=12,mem=12000M,no
3195366             dmatthe1            bluemoon            GRAD_EVAL           11:07:33            node514             N/A                 cpu=12,mem=12000M,no
3195365             dmatthe1            bluemoon            GRAD_EVAL           11:05:30            node503             N/A                 cpu=12,mem=12000M,no
3195364             dmatthe1            bluemoon            GRAD_EVAL           11:05:16            node500             N/A                 cpu=12,mem=12000M,no
3195363             dmatthe1            bluemoon            GRAD_EVAL           11:05:02            node484             N/A                 cpu=12,mem=12000M,no
3195362             dmatthe1            bluemoon            GRAD_EVAL           11:04:55            node405             N/A                 cpu=12,mem=12000M,no
3195361             dmatthe1            bluemoon            GRAD_EVAL           11:04:31            node498             N/A                 cpu=12,mem=12000M,no
3195360             dmatthe1            bluemoon            GRAD_EVAL           11:04:28            node507             N/A                 cpu=12,mem=12000M,no
3195359             dmatthe1            bluemoon            GRAD_EVAL           11:03:29            node416             N/A                 cpu=12,mem=12000M,no
3195358             dmatthe1            bluemoon            GRAD_EVAL           11:03:08            node208             N/A                 cpu=12,mem=12000M,no
3195357             dmatthe1            bluemoon            GRAD_EVAL           11:03:07            node412             N/A                 cpu=12,mem=12000M,no
3195356             dmatthe1            bluemoon            GRAD_EVAL           11:02:30            node455             N/A                 cpu=12,mem=12000M,no
3195355             dmatthe1            bluemoon            GRAD_EVAL           11:01:17            node508             N/A                 cpu=12,mem=12000M,no
3195354             dmatthe1            bluemoon            GRAD_EVAL           11:00:33            node526             N/A                 cpu=12,mem=12000M,no
